City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
316,Wexford,IE,52.3342,-6.4575,47.89,87,88,11.99,overcast clouds
317,Poya,NC,-21.35,165.15,85.3,71,100,16.49,heavy intensity rain
318,Wagar,SD,16.1525,36.2032,65.48,66,3,11.48,clear sky
319,Kuznechnoye,RU,61.12,29.8686,9.32,79,100,5.64,overcast clouds
320,Kieta,PG,-6.2167,155.6333,84.7,71,92,5.59,overcast clouds
321,Vostok,RU,46.4856,135.8833,-2.81,84,47,2.89,scattered clouds
322,Raxaul,IN,26.9833,84.85,45.36,65,0,7.36,clear sky
323,Kembe,CF,4.6228,21.8865,68.61,33,76,1.19,broken clouds
324,Salvador,SV,13.8333,-88.9167,78.04,58,29,1.5,scattered clouds
325,Mayo,US,38.8876,-76.5119,45.12,54,0,6.91,clear sky
326,Catamarca,AR,-28.4696,-65.7852,81.59,45,89,3.0,overcast clouds
327,Woodward,US,36.4337,-99.3904,51.03,46,0,4.61,clear sky
328,Itoman,JP,26.1247,127.6694,59.02,73,20,5.75,few clouds
329,Kinablangan,PH,7.6947,126.5503,74.71,90,100,7.47,moderate rain
330,Coihaique,CL,-45.5752,-72.0662,65.01,72,75,3.44,broken clouds
331,Harwich,GB,51.9419,1.2844,47.25,80,46,11.01,scattered clouds
332,Arraial Do Cabo,BR,-22.9661,-42.0278,70.5,88,100,9.66,overcast clouds
333,Port Arthur,CN,38.8,121.2667,37.62,71,36,10.69,scattered clouds
334,Dzerzhinskoye,RU,56.8344,95.2283,14.72,94,100,5.91,overcast clouds
335,Nanortalik,GL,60.1432,-45.2371,22.6,74,68,6.78,broken clouds
336,Poum,NC,-20.2333,164.0167,83.25,83,100,30.33,moderate rain
337,Brae,GB,60.3964,-1.353,46.47,82,72,25.19,broken clouds
338,Sawai Madhopur,IN,25.9833,76.3667,43.7,41,0,1.3,clear sky
339,Pozo Colorado,PY,-23.4923,-58.7972,78.39,49,30,2.35,scattered clouds
340,Tamiahua,MX,21.2667,-97.45,72.1,89,2,8.1,clear sky
